sbd,ten,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd
1000357,Oliver,6.4,7,6,,,,8.25,7.25,7.75
1000358,William,7.4,7.5,7.2,,,,6.5,7,8
1000359,Sophia,8.2,8,8.6,,,,7,7.25,8
1000360,Evelyn,7.6,,6.6,7.5,,,,,
1000361,James,4,6.75,3.4,,,,7.25,5.5,4.25
1000362,Daniel,8,8,8,,,,4.25,6.5,8.25
1000363,Aiden,8.6,9,8.6,,,,7.75,8.5,9
1000364,Henry,7.4,6.5,6.2,,,,7,7.5,8
1000365,Sofia,7.8,8.5,6.4,,,,6.5,7.75,8.25
1000366,Samuel,7.2,7.5,5.4,,,,7.75,7.25,8.25
1000367,Olivia,4,7.5,5.6,,,,5.5,6.25,7
1000368,Harper,5.6,8,6.4,,,,9.25,8.75,7.75
1000369,Benjamin,6.2,8.5,9.2,,,,4,8.25,8.5
1000370,Emily,8.2,8.25,8,,,,7.75,8,9
1000371,Isabella,4.4,5.5,6.8,,,,3.5,5,8
1000372,Samuel,7.8,8.5,9.2,,,,,,
1000373,Sofia,8.2,7.75,7.8,,,,5,5.5,7.25
1000374,Liam,3.2,7.5,3.8,,,,6,4.25,7.25
1000375,Jackson,,6,,,,,7.75,7.5,
1000376,Sophia,4.4,7.25,,,,,5.25,5.75,
1000377,Aiden,,6.75,,,,,8.5,8.25,
1000378,Chloe,6.8,6.25,,,,,6.75,5.75,
1000379,Charlotte,2.2,5.25,,,,,6,5.5,
1000380,Isabella,,4,,,,,6.5,6.75,
1000381,Emily,8,7,,,,,7.5,7,
1000382,Jackson,5.6,6,8.2,,,,,,
1000384,Charlotte,,6.75,,,,,8.5,7.25,
1000385,William,,6,,,,,4.5,5.25,
1000386,Lucas,7.8,8.75,9.4,,,,,,
1000387,Grace,7.6,8.25,8.8,,,,5,7,9
1000388,Evelyn,3.8,6,,,,,3.25,6.25,
1000389,Benjamin,,7.25,,,,,10,8.75,
1000391,Elijah,1.8,4.75,,,,,4.5,5.5,
1000392,Emma,,5.75,,,,,8.25,8.5,
1000393,Mia,5,5,8.6,,,,6.25,6.25,
1000394,Oliver,,7.5,,,,,9.5,8.75,
1000395,Aiden,,5.5,,,,,6.25,7.25,
1000396,Liam,,3.75,,,,,6,6,
1000398,Oliver,2.6,4,,,,,4.5,4.25,
1000399,Emily,,4.25,,,,,5.5,6.75,
1000400,Benjamin,,6,,,,,7.5,7.5,
1000401,Henry,,4,,,,,6,6.25,
1000402,Emily,5,6.25,5,,,,,,
1000403,Henry,,3.75,,,,,2.75,5.5,
1000404,Emily,8.2,6,8.6,,,,9.25,7.25,8.25
1000405,Grace,,6,,,,,7.25,8.25,
1000406,Daniel,,8.25,7.6,,,,8.5,8.75,8.5
1000407,Emily,3.4,7,,,,,5,6,
1000408,Isabella,,7,,,,,7.25,5.75,
1000409,Abigail,,6.5,,,,,8.25,6.75,
1000410,Sofia,,6.75,,,,,7.75,6.25,
1000411,Olivia,6,5.75,,,,,6.5,6.5,
1000412,Elijah,,4,,,,,7.5,7,
1000413,Emily,5.4,6,,,,,8.5,8.25,
1000414,Jackson,,7.5,,,,,8.75,8.75,
1000416,Liam,6.2,6.25,,,,,7.25,7,
1000417,Sofia,6.8,,8.2,,9,7,,,
1000418,Amelia,,3.5,,,,,6.75,7.25,
1000419,Olivia,,5,,,,,4,7.25,
1000420,Evelyn,,5.5,,,,,5.25,6.75,
1000421,Liam,1.8,5,,,,,3.25,7.25,
1000422,Mia,8.2,7.75,8,,,,,,
1000423,Harper,4.2,4.25,,,,,4.25,7.5,
1000424,Benjamin,5.2,6.5,,,,,8.5,8.5,
